,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,State
2191,2022-05-16,1,20000,650,1 out of 4,Carpet Area,Mayur Vihar 1,Delhi,Furnished,Bachelors/Family,1,Contact Agent,2
3262,2022-05-16,2,15000,1050,1 out of 2,Super Area,Medavakkam,Chennai,Furnished,Bachelors/Family,2,Contact Owner,1
3285,2022-05-16,2,15000,1000,Ground out of 2,Super Area,Velachery,Chennai,Unfurnished,Family,2,Contact Owner,1
1666,2022-05-16,2,9500,200,Ground out of 2,Carpet Area,Kengeri Upanagara,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
2596,2022-05-16,2,10000,600,1 out of 1,Super Area,Anna Nagar-Pammal,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,1
3720,2022-05-16,2,13000,1250,2 out of 6,Super Area,"LB Nagar, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,2
732,2022-05-17,2,35000,650,5 out of 7,Carpet Area,"Thakur Village, Kandivali East",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,2
3109,2022-05-17,3,40000,1250,2 out of 4,Carpet Area,T Nagar,Chennai,Furnished,Bachelors,3,Contact Agent,3
451,2022-05-17,2,5146,800,Ground out of 2,Super Area,Sodepur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
484,2022-05-17,3,10000,800,Ground out of 2,Carpet Area,"Arobindo Pally, Paschim Putiary",Kolkata,Unfurnished,Bachelors,1,Contact Owner,1
3308,2022-05-17,3,22000,1400,1 out of 6,Carpet Area,Aruna Colony,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,2
3183,2022-05-17,2,15000,550,Ground out of 3,Super Area,Mylapore,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1
16,2022-05-17,2,6000,600,1 out of 2,Super Area,Barasat,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1
958,2022-05-17,2,50000,750,10 out of 20,Carpet Area,"Hillcrest, Andheri East",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,2
3257,2022-05-17,2,12000,1000,1 out of 1,Carpet Area,Kolathur,Chennai,Unfurnished,Bachelors,2,Contact Owner,1
3182,2022-05-17,1,7000,600,Ground out of 3,Super Area,Iyyappanthangal,Chennai,Furnished,Bachelors/Family,1,Contact Owner,1
291,2022-05-17,2,14000,900,Ground out of 2,Carpet Area,Salt Lake City,Kolkata,Unfurnished,Bachelors,2,Contact Agent,1
509,2022-05-17,3,7000,900,1 out of 2,Super Area,"Michael Nagar, New Barrakpur",Kolkata,Furnished,Bachelors/Family,3,Contact Owner,1
3200,2022-05-17,3,16000,1420,Ground out of 1,Carpet Area,"Rajakipakkam, Sembakkam",Chennai,Furnished,Bachelors/Family,2,Contact Owner,1
2117,2022-05-17,1,8500,450,3 out of 4,Carpet Area,Sarita Vihar Pocket M,Delhi,Unfurnished,Bachelors,1,Contact Agent,1
1524,2022-05-17,2,10000,300,Ground out of 4,Carpet Area,"Aditya Nagar-Vidyaranyapura, Vidyaranyapura",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
3111,2022-05-17,1,18000,475,2 out of 11,Carpet Area,Sholinganallur,Chennai,Furnished,Bachelors/Family,1,Contact Agent,2
3523,2022-05-17,2,9000,750,2 out of 3,Super Area,Alwal,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,1
3770,2022-05-17,3,40000,1960,13 out of 25,Super Area,"Nallagandla, Serilingampally",Hyderabad,Unfurnished,Bachelors,3,Contact Agent,3
924,2022-05-17,1,13000,385,6 out of 20,Carpet Area,"Aims Sea View, Indralok",Mumbai,Unfurnished,Family,1,Contact Agent,1
3193,2022-05-17,2,22000,1000,2 out of 4,Carpet Area,T Nagar,Chennai,Furnished,Bachelors/Family,2,Contact Agent,2
3236,2022-05-17,2,28000,1000,2 out of 4,Super Area,Velachery,Chennai,Furnished,Bachelors/Family,2,Contact Owner,2
1297,2022-05-17,2,10000,1000,2 out of 2,Super Area,Mathikere,Bangalore,Furnished,Bachelors,2,Contact Owner,1
1154,2022-05-18,3,48000,2000,2 out of 4,Carpet Area,Frazer Town,Bangalore,Furnished,Bachelors/Family,3,Contact Agent,1
3114,2022-05-18,2,11000,830,Ground out of 2,Super Area,Sembakkam,Chennai,Furnished,Family,2,Contact Owner,1
2754,2022-05-18,1,15000,500,1 out of 2,Super Area,Royapettah,Chennai,Furnished,Family,1,Contact Owner,1
1982,2022-05-18,1,13000,400,Ground out of 4,Carpet Area,Chhattarpur Enclave,Delhi,Furnished,Bachelors,1,Contact Agent,1
2421,2022-05-18,2,25000,950,Ground out of 4,Carpet Area,"East End Apartments, Ph. 1ext near new Ashok nagar",Delhi,Furnished,Bachelors/Family,2,Contact Owner,2
4119,2022-05-18,2,15000,1000,3 out of 5,Carpet Area,Bandam Kommu,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,2
2505,2022-05-18,3,35000,1540,3 out of 4,Carpet Area,Ranganathapuram-Medavakkam,Chennai,Furnished,Bachelors,2,Contact Owner,2
1010,2022-05-18,1,26000,650,1 out of 3,Super Area,Srinagarchs chembur west near sankralyammandir,Mumbai,Furnished,Bachelors/Family,1,Contact Owner,2
1845,2022-05-18,2,22000,1150,1 out of 4,Carpet Area,Electronic City,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
1949,2022-05-18,2,38000,150,Ground out of 4,Carpet Area,Malviya Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,2
2285,2022-05-18,1,8500,550,2 out of 3,Carpet Area,Chhattarpur Enclave,Delhi,Unfurnished,Bachelors,1,Contact Agent,1
2367,2022-05-18,1,10000,450,2 out of 4,Carpet Area,"Chhattarpur Enclave Phase1, Chhattarpur",Delhi,Unfurnished,Bachelors/Family,1,Contact Agent,2
2391,2022-05-18,2,17500,650,2 out of 4,Carpet Area,Chhattarpur,Delhi,Furnished,Bachelors/Family,2,Contact Agent,2
421,2022-05-18,1,12000,500,Ground out of 2,Super Area,"Madurdaha, Hussainpur",Kolkata,Furnished,Bachelors/Family,1,Contact Agent,1
2392,2022-05-18,3,14500,1250,1 out of 4,Carpet Area,Chhattarpur,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent,1
2379,2022-05-18,4,30000,1950,2 out of 4,Carpet Area,Chhattarpur Enclave,Delhi,Furnished,Bachelors/Family,4,Contact Agent,2
1105,2022-05-18,2,50000,1280,2 out of 12,Carpet Area,Hebbal,Bangalore,Furnished,Bachelors/Family,2,Contact Agent,3
1120,2022-05-18,2,20000,1040,1 out of 7,Carpet Area,Sarjapur Road,Bangalore,Furnished,Bachelors/Family,2,Contact Agent,2
2083,2022-05-18,2,9500,450,3 out of 4,Carpet Area,Laxmi Nagar,Delhi,Furnished,Bachelors/Family,1,Contact Agent,1
1956,2022-05-18,2,12000,48,1 out of 3,Super Area,Rohini Sector 16,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,1
570,2022-05-18,2,42000,750,11 out of 21,Carpet Area,"RNA ROYALE PARK, Kandivali West",Mumbai,Unfurnished,Bachelors,2,Contact Agent,2
1428,2022-05-18,2,11000,950,2 out of 3,Carpet Area,Begur,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
382,2022-05-18,1,6500,850,1 out of 3,Carpet Area,Baksara,Kolkata,Unfurnished,Bachelors,1,Contact Owner,1
572,2022-05-18,2,41000,750,6 out of 21,Carpet Area,"RNA ROYALE PARK, Kandivali West",Mumbai,Unfurnished,Bachelors,2,Contact Agent,3
3548,2022-05-18,2,17000,1050,3 out of 5,Super Area,"Ashok Nagar, Himayath Nagar",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,1
2390,2022-05-18,2,13000,650,2 out of 4,Carpet Area,Chhattarpur,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,1
2080,2022-05-18,3,45000,200,1 out of 4,Carpet Area,Paschim Vihar Block B1,Delhi,Furnished,Bachelors,3,Contact Agent,3
1004,2022-05-18,1,24000,430,6 out of 7,Carpet Area,"Bhoomi Elegant, Thakur Complex",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,2
2451,2022-05-18,2,15000,1000,17 out of 31,Carpet Area,Thalambur,Chennai,Furnished,Bachelors,2,Contact Owner,1
2147,2022-05-18,1,5500,630,Ground out of 2,Super Area,Uttam Nagar,Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
1970,2022-05-18,1,5000,25,2 out of 5,Carpet Area,Ganga Vihar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
2378,2022-05-18,3,23000,1250,2 out of 4,Carpet Area,Chhattarpur Enclave,Delhi,Unfurnished,Bachelors,2,Contact Agent,1
1192,2022-05-18,2,11500,700,1 out of 2,Super Area,Near coffee board layout,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
1817,2022-05-18,2,16000,850,Ground out of 2,Super Area,"Jp Nagar Phase 1, J P Nagar",Bangalore,Furnished,Bachelors/Family,3,Contact Owner,2
620,2022-05-18,1,7500,500,2 out of 2,Carpet Area,Suram Park Society,Mumbai,Furnished,Bachelors,1,Contact Owner,1
1931,2022-05-18,1,20000,75,2 out of 4,Carpet Area,Malviya Nagar,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent,1
2849,2022-05-18,2,18000,700,1 out of 2,Carpet Area,Choolaimedu,Chennai,Unfurnished,Bachelors,2,Contact Agent,1
3339,2022-05-18,2,9000,1800,1 out of 1,Super Area,"Basheer Bagh, Hyderabad,",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,1
0,2022-05-18,2,10000,1100,Ground out of 2,Super Area,Bandel,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,3
3004,2022-05-18,2,20000,700,Ground out of 2,Carpet Area,Mambalam West,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,2
2286,2022-05-18,1,8000,450,Ground out of 4,Carpet Area,Chhattarpur Enclave,Delhi,Unfurnished,Bachelors,1,Contact Agent,1
2327,2022-05-18,3,27000,1250,3 out of 4,Carpet Area,Chhattarpur Enclave,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent,2
2393,2022-05-18,3,24000,1250,2 out of 4,Carpet Area,Chhattarpur,Delhi,Unfurnished,Bachelors,2,Contact Agent,2
992,2022-05-18,2,52000,550,3 out of 3,Carpet Area,Dadar East,Mumbai,Furnished,Bachelors,2,Contact Agent,3
2290,2022-05-18,2,12000,650,2 out of 4,Carpet Area,Chhattarpur Enclave,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent,1
2030,2022-05-18,2,32000,1000,1 out of 3,Super Area,Lajpat Nagar 1,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,2
2330,2022-05-18,3,16500,1250,2 out of 4,Carpet Area,Chattarpur Extension,Delhi,Unfurnished,Bachelors,2,Contact Agent,2
4024,2022-05-18,2,10000,110,1 out of 1,Carpet Area,Sangareddy District,Hyderabad,Unfurnished,Bachelors,2,Contact Owner,2
1936,2022-05-18,1,12000,350,4 out of 4,Carpet Area,Chhattarpur,Delhi,Furnished,Bachelors,1,Contact Agent,1
3480,2022-05-18,3,15000,1600,1 out of 5,Super Area,"Miyapur, NH 9",Hyderabad,Furnished,Bachelors/Family,3,Contact Owner,1
576,2022-05-18,3,50000,1000,9 out of 15,Carpet Area,"Heena Gaurav Jewels, Gokuldham",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,3
3714,2022-05-18,3,17000,100,1 out of 1,Carpet Area,Masab Tank,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner,1
2291,2022-05-18,2,13000,550,1 out of 4,Carpet Area,Chhattarpur Enclave,Delhi,Unfurnished,Bachelors,2,Contact Agent,1
2323,2022-05-18,3,24000,1250,2 out of 4,Carpet Area,Chhattarpur Enclave,Delhi,Unfurnished,Bachelors,2,Contact Agent,2
2345,2022-05-18,3,25000,1400,3 out of 4,Carpet Area,Palam Extension,Delhi,Unfurnished,Family,3,Contact Agent,2
987,2022-05-18,2,38000,700,14 out of 23,Carpet Area,"Sky Villa, Gokuldham",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,2
68,2022-05-18,2,6500,800,Ground out of 2,Carpet Area,"Chak Thakurani, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
1937,2022-05-18,2,16000,650,2 out of 4,Carpet Area,Chhattarpur,Delhi,Furnished,Bachelors/Family,2,Contact Agent,3
874,2022-05-18,2,35000,650,6 out of 8,Carpet Area,"Evershine Millenium Paradise, Thakur Village, Kandivali East",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,2
2328,2022-05-18,2,17000,650,2 out of 4,Carpet Area,Chhattarpur Enclave,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,2
1254,2022-05-18,3,22000,1200,4 out of 4,Carpet Area,Bommasandra,Bangalore,Unfurnished,Bachelors,2,Contact Owner,2
3699,2022-05-19,2,13000,1225,2 out of 4,Super Area,"Sun City, Bandlaguda, Chevella Road",Hyderabad,Unfurnished,Bachelors,2,Contact Owner,1
1467,2022-05-19,1,6000,600,Ground out of 2,Super Area,Choodasandra,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
875,2022-05-19,1,40000,508,16 out of 18,Carpet Area,"Kanakia Sevens, Marol Maroshi Road",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,3
2053,2022-05-19,3,40000,1800,Ground out of 3,Super Area,Vasant Kunj,Delhi,Furnished,Bachelors/Family,2,Contact Owner,1
2270,2022-05-19,2,20000,900,2 out of 4,Carpet Area,Malviya Nagar,Delhi,Furnished,Bachelors,2,Contact Agent,2
1466,2022-05-19,2,9300,500,2 out of 4,Super Area,Rajajinagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
3019,2022-05-19,2,13000,730,2 out of 2,Carpet Area,Keelkattalai,Chennai,Furnished,Family,2,Contact Owner,1
1969,2022-05-19,2,22000,1040,1 out of 2,Carpet Area,"Janak Park, Hari Nagar",Delhi,Furnished,Bachelors,3,Contact Owner,1
1529,2022-05-19,1,5000,500,Ground out of 2,Super Area,Vijayanagar,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
3230,2022-05-19,3,35000,1903,6 out of 11,Super Area,Old Mahabalipuram Road,Chennai,Furnished,Bachelors/Family,3,Contact Owner,2
1511,2022-05-19,1,7000,700,3 out of 4,Super Area,Mailasandar,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
1577,2022-05-19,2,12000,800,1 out of 3,Super Area,Ramamurthy Nagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1
1745,2022-05-19,2,21000,1100,3 out of 4,Carpet Area,Hennur Main Road,Bangalore,Furnished,Bachelors,2,Contact Agent,2
227,2022-05-19,1,3000,160,Ground out of 1,Super Area,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
2621,2022-05-19,2,8000,800,4 out of 4,Super Area,"Urapakkam, Vandalur R.F, GST Road",Chennai,Furnished,Bachelors/Family,2,Contact Owner,1
3221,2022-05-19,3,37000,1650,2 out of 14,Super Area,Vadapalani,Chennai,Furnished,Family,3,Contact Agent,2
195,2022-05-19,1,5200,750,2 out of 4,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
1486,2022-05-19,2,8000,500,1 out of 3,Super Area,Vijayanagar,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
1621,2022-05-19,2,10000,850,2 out of 4,Super Area,Cox Town,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1
1522,2022-05-19,2,18000,1300,Ground out of 4,Super Area,Basavanapura,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
2811,2022-05-19,2,9500,700,Ground out of 2,Carpet Area,"Kelambakkam, Old Mahabalipuram Road",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,1
1521,2022-05-19,2,13000,750,Ground out of 4,Super Area,K R Puram,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
1631,2022-05-19,2,18000,1000,3 out of 4,Super Area,Basaveshwara Layout,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
1290,2022-05-19,2,12000,700,1 out of 2,Carpet Area,"Doddanekundi, Kartik Nagar",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
2302,2022-05-19,1,12000,800,3 out of 5,Super Area,Rohini Sector 3,Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
1482,2022-05-19,3,35000,1278,3 out of 7,Super Area,Mathikere,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
1231,2022-05-19,2,20000,1100,2 out of 2,Super Area,Rajajinagar,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,2
1523,2022-05-19,4,30000,1900,3 out of 5,Super Area,Bommanahalli,Bangalore,Unfurnished,Bachelors/Family,3,Contact Owner,2
1479,2022-05-19,2,15000,800,1 out of 6,Super Area,Chamrajpet,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
3759,2022-05-19,3,26000,1700,7 out of 14,Carpet Area,"Hafeezpet, NH 9",Hyderabad,Furnished,Family,3,Contact Owner,3
1746,2022-05-19,3,30000,1300,2 out of 4,Carpet Area,Maruthi Sevanagar,Bangalore,Furnished,Bachelors,3,Contact Agent,2
922,2022-05-19,2,15000,600,18 out of 28,Carpet Area,Shilphata,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,1
2076,2022-05-19,3,52000,1700,1 out of 1,Carpet Area,Vasant Kunj,Delhi,Furnished,Bachelors,3,Contact Agent,3
2301,2022-05-19,2,15000,900,4 out of 5,Super Area,Bhagwati Garden,Delhi,Furnished,Bachelors/Family,2,Contact Owner,1
1632,2022-05-19,2,17500,900,Ground out of 2,Super Area,Hebbal Kempapura,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
907,2022-05-19,1,25000,407,5 out of 23,Super Area,Devi Pada,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,2
1611,2022-05-19,1,12500,500,Ground out of 3,Super Area,Seshadripuram,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
1396,2022-05-19,1,8000,350,2 out of 3,Super Area,Banaswadi,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2
1680,2022-05-19,2,8500,532,1 out of 2,Carpet Area,Tannery Road,Bangalore,Unfurnished,Bachelors,1,Contact Owner,1
1883,2022-05-19,2,22000,1250,1 out of 1,Super Area,Kammanahalli,Bangalore,Unfurnished,Bachelors,2,Contact Owner,2
1596,2022-05-19,2,18000,1200,3 out of 4,Super Area,Annapurneshwari Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
1597,2022-05-19,1,4300,300,2 out of 4,Super Area,Ragavendra Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
1547,2022-05-19,3,15000,800,Ground out of 3,Super Area,Kithiganur,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,1
1401,2022-05-19,3,15000,750,1 out of 2,Super Area,"Hmt Layout Block 4, Vidyaranyapura",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
312,2022-05-19,2,10000,300,Ground out of 1,Carpet Area,Keshtopur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,1
1421,2022-05-19,3,20000,904,1 out of 5,Super Area,Gottigere Main Rd,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
707,2022-05-19,2,56000,720,12 out of 22,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,3
3185,2022-05-19,3,37500,1680,1 out of 16,Super Area,Vadapalani,Chennai,Furnished,Family,3,Contact Agent,2
3172,2022-05-19,3,36000,1610,3 out of 14,Super Area,Vadapalani,Chennai,Furnished,Family,3,Contact Agent,2
728,2022-05-19,2,45000,630,8 out of 13,Carpet Area,"Crescent Solitaire, Sakinaka Junction",Mumbai,Furnished,Bachelors/Family,1,Contact Agent,3
1548,2022-05-19,2,10000,1000,Ground out of 2,Carpet Area,Kamala Nagar,Bangalore,Unfurnished,Bachelors,1,Contact Owner,1
1879,2022-05-19,2,20000,1100,3 out of 4,Carpet Area,Hennur Main Road,Bangalore,Furnished,Bachelors,2,Contact Agent,2
755,2022-05-19,1,30000,600,5 out of 5,Carpet Area,Mulund Railway Station,Mumbai,Furnished,Bachelors/Family,1,Contact Owner,2
1622,2022-05-19,1,11500,600,3 out of 4,Super Area,J P Nagar,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
3237,2022-05-19,3,32000,1050,4 out of 12,Carpet Area,Vadapalani,Chennai,Furnished,Family,3,Contact Agent,2
3240,2022-05-19,3,33000,1075,7 out of 12,Carpet Area,Vadapalani,Chennai,Furnished,Family,3,Contact Agent,2
1620,2022-05-19,1,8000,750,Ground out of 3,Super Area,K R Puram,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
1439,2022-05-19,2,11000,900,2 out of 3,Super Area,T Dasarahalli,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
676,2022-05-19,1,18500,225,4 out of 7,Carpet Area,Lower Parel,Mumbai,Furnished,Bachelors,1,Contact Agent,3
1338,2022-05-19,2,16000,1400,1 out of 2,Super Area,Hebbal,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
1339,2022-05-19,2,17000,1387,Ground out of 4,Super Area,"Nobo Nagar, Kalena Agrahara",Bangalore,Furnished,Bachelors/Family,3,Contact Owner,2
1595,2022-05-19,2,11000,600,Ground out of 3,Super Area,Nagarbhavi,Bangalore,Furnished,Bachelors,1,Contact Owner,1
1340,2022-05-19,3,30000,1350,Ground out of 5,Super Area,K R Puram,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
172,2022-05-19,2,18000,850,2 out of 4,Carpet Area,Behala Chowrasta,Kolkata,Furnished,Family,1,Contact Owner,2
1438,2022-05-19,2,15000,1180,Ground out of 5,Super Area,Bommanahalli,Bangalore,Furnished,Family,2,Contact Owner,1
1400,2022-05-19,2,17000,700,2 out of 5,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
2998,2022-05-19,3,24000,1570,Ground out of 2,Super Area,Selaiyur,Chennai,Furnished,Bachelors/Family,3,Contact Owner,2
3121,2022-05-19,2,25000,1050,9 out of 12,Carpet Area,Vadapalani,Chennai,Furnished,Family,2,Contact Agent,2
699,2022-05-19,2,40000,650,15 out of 15,Carpet Area,"Rustomjee Regency, Gomant Nagar",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,3
3189,2022-05-19,3,34000,1125,8 out of 12,Carpet Area,Vadapalani,Chennai,Furnished,Family,3,Contact Agent,2
3208,2022-05-19,3,35000,1152,10 out of 14,Carpet Area,Vadapalani,Chennai,Furnished,Family,3,Contact Agent,2
3113,2022-05-19,2,23000,1050,11 out of 12,Carpet Area,Vadapalani,Chennai,Furnished,Family,2,Contact Agent,2
1337,2022-05-19,1,3500,150,2 out of 3,Super Area,Yeshwantpur,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
1533,2022-05-19,2,20000,1200,Ground out of 4,Super Area,Btm Layout,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
1517,2022-05-20,1,6500,200,4 out of 4,Super Area,Mahadevapura,Bangalore,Furnished,Bachelors,1,Contact Owner,1
3622,2022-05-20,2,9000,100,2 out of 3,Super Area,Chanchalguda,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,1
3651,2022-05-20,1,12000,300,2 out of 3,Super Area,Gachibowli,Hyderabad,Furnished,Bachelors/Family,1,Contact Owner,2
3724,2022-05-20,2,13000,700,3 out of 4,Super Area,"Habsiguda, NH 2 2",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,3
3291,2022-05-20,2,10000,1100,1 out of 3,Super Area,Meerpet,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,1
504,2022-05-20,3,25000,1000,2 out of 4,Super Area,Rash Behari Avenue Connector,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
3574,2022-05-20,2,10000,800,1 out of 2,Super Area,"Kukatpally, NH 9",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,2
3167,2022-05-20,2,28000,1200,1 out of 3,Super Area,Kodambakkam,Chennai,Furnished,Family,2,Contact Owner,2
3275,2022-05-20,2,15000,900,1 out of 2,Super Area,Kolathur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1
3741,2022-05-20,2,8000,1200,1 out of 3,Super Area,"Hayathnagar, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,1
337,2022-05-20,2,7000,600,Ground out of 2,Carpet Area,2 BHK,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,1
1424,2022-05-20,2,11000,1200,1 out of 2,Super Area,"Bhel Layout, Rajarajeshwari Nagar",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
1247,2022-05-20,2,16000,900,3 out of 5,Carpet Area,Kodi Halli,Bangalore,Furnished,Bachelors/Family,1,Contact Agent,2
3812,2022-05-20,2,10000,1200,2 out of 3,Super Area,"Jillelguda, Medbowli",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,3
1248,2022-05-20,2,23000,1100,2 out of 5,Carpet Area,Kodi Halli,Bangalore,Furnished,Bachelors/Family,2,Contact Agent,2
46,2022-05-20,2,4600,400,3 out of 3,Carpet Area,Behala,Kolkata,Furnished,Bachelors,1,Contact Owner,1
306,2022-05-20,3,20000,1200,Ground out of 1,Carpet Area,"Haridevpur, Paschim Putiary",Kolkata,Furnished,Bachelors,2,Contact Owner,2
3666,2022-05-20,3,14000,1000,1 out of 2,Super Area,"Malakpet, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,2
3810,2022-05-20,2,8000,175,1 out of 3,Super Area,"Old Malakpet, NH 9",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,2
3146,2022-05-20,2,19000,800,2 out of 4,Super Area,Mambalam West,Chennai,Furnished,Bachelors/Family,2,Contact Owner,2
2927,2022-05-20,1,10000,550,2 out of 3,Super Area,Guindy,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,1
3713,2022-05-20,2,7000,1000,2 out of 3,Super Area,"B N Reddy Nagar, Nagarjuna Sagar Road",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,3
2679,2022-05-20,2,11000,780,1 out of 14,Carpet Area,Mugalivakkam,Chennai,Furnished,Family,2,Contact Owner,1
1249,2022-05-20,2,25000,1100,2 out of 10,Carpet Area,"Jagadish Nagar, Kaggadasapura",Bangalore,Furnished,Bachelors/Family,2,Contact Agent,3
3267,2022-05-20,1,12000,700,1 out of 2,Super Area,Thiruvanmiyur,Chennai,Furnished,Bachelors/Family,1,Contact Owner,2
349,2022-05-20,2,6000,960,Ground out of 2,Super Area,Dum Dum,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,1
3023,2022-05-20,2,10000,900,1 out of 3,Super Area,Poonamallee,Chennai,Furnished,Bachelors/Family,2,Contact Owner,1
2568,2022-05-20,4,55000,2400,1 out of 3,Carpet Area,Thiruvanmiyur,Chennai,Unfurnished,Bachelors/Family,4,Contact Agent,3
3147,2022-05-20,3,45000,1500,1 out of 3,Super Area,CIT Nagar,Chennai,Furnished,Bachelors/Family,2,Contact Owner,2
3356,2022-05-20,2,9000,1100,2 out of 4,Super Area,"Boduppal, NH 2 2",Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner,1
3888,2022-05-20,2,10500,1050,Ground out of 3,Super Area,Hastinapuram,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,3
